Year,Mint Mark,Denomination,Program/Series,Theme/Subject,Condition,Cost,AI Estimated Value,Certification Number,Storage Location,Added
"1833","","Half Dime","USA Invoice Import","Unmapped","About Uncirculated-58","$653.00","","","",""
"1996","S","Dime","Roosevelt Dimes","Unmapped","Choice Proof 63","7.75","$3 – $7","","",""
"1943","","Penny","Lincoln Cent","Steel Cent (Wartime Issue)","Genuine","$0.00","$0.50 - $2.00","","",""
"1946","S","Dime","Mercury Dime","Winged Liberty Head","Uncirculated","Points","$8 – $15","","",""
"1915","P","Dime","Barber Dimes","Liberty Head","Very Good","$26.95","Pending","","",""
"1915","","25 Cents","Barber Silver Quarters","Liberty Head","Ungraded","$25.25","$8 – $150","","",""
"1952","","Five Cents","The U.S. Nickel Collection","Thomas Jefferson","","$7.95","","","",""
"2019","S","Quarter","America the Beautiful Quarters","San Antonio Missions National Historical Park","Proof-63 Cameo","$5.50","$3 – $7","","",""
"2010","P","Dime","America the Beautiful Quarters","Unmapped","Uncirculated","2.00","$1.00 – $3.00","","",""
"2024","","Dollar","The Ultimate Modern Morgan and Peace Silver Dollar Collection","Peace Dollar","Reverse Proof","$256.26","","","",""
"2008","S","Quarter","State and Territory Quarters","Hawaii Silver","Choice Proof 63","22.5","$4 – $10","","",""
"2006","D","Quarter","State and Territory Quarters","South Dakota","Uncirculated","3.0","$0.50 – $1.50","","",""
"1940","S","Half Dollar","Walking Liberty Half Dollar","Unmapped","Very Fine","$43.95","$14 – $22","","",""
"1916","S","Dime","Barber Dimes","Liberty Head","Good","$22.95","Pending","","",""
"1905","O","Dime","Barber Dimes","Liberty Head","Average Circulated","$24.50","$15 – $35","","",""
"1928","","Penny","Lincoln Head Cent","Unmapped","Genuine","$0.00","$0.15 – $1.50","","",""
"1942","S","Lincoln Cent","The World War II U.S. Coin Collection","WWII","Ungraded","$0.00","$0.15 – $3.00","","",""
"1987","","Penny","Lincoln Cent Series","Abraham Lincoln","Uncirculated","$0.95","$0.15 – $1.00","","",""
"1975","D","Dime","Roosevelt Dimes","Unmapped","Uncirculated","3.25","$1 – $3","","",""
"1952","","Penny","Lincoln Cent","Wheat Reverse","Genuine","$0.00","$0.10 - $0.50","","",""
"1971-1978","","Dollar","Eisenhower Dollar","Ike Dollar Set","Uncirculated & Proof-63","$899.00","","","",""
"2013","D","Penny","America the Beautiful Quarters","Unmapped","Uncirculated","","Pending","","",""
"1878","","Quarter","Liberty Seated","Unmapped","Very Good","$95.00","Pending","","",""
"2025","S","Quarter Dollar","American Women Quarters","Althea Gibson","Choice Proof-63","$34.95","","","",""
"2024","D","1 Quarter","American Women Quarters Program","Zitkala-Sa","Uncirculated","$1.00","Pending","","",""
"1976S","","","Clad  Proof Set 6 coins","Unmapped","ch proog 63","$33.95","$8 – $15","","",""
"1912","","Nickel","Liberty Head Nickel","Unmapped","About Good","$9.00","Pending","","",""
"1873","","Half Dollar","Liberty Seated","Closed 3","Very Good","$145.00","Pending","","",""
"2020","W","Dollar","The Complete 2020 American Eagle NGCX Silver Dollar Set","WWII 75TH ANN.","","$298.00","","","",""
"2008","D","Penny","Lincoln Cent","Lincoln Memorial Reverse","Uncirculated","$4.00","$0.10 - $0.50","","",""
"1976","D","1 Dollar","U.S. Bicentennial","Eisenhower Dollar - Variety 2","UNC 63","$31.35","$4 – $8","","",""
"1921","","Penny","Lincoln Wheat Cent Series","Abraham Lincoln","Not Graded","$0.00","$0.15 – $15.00","","",""
"2023","S","Half Dollar","Half Dollar Club Selection","Kennedy","Ch Proof-63","$16.50","","","",""
"1862-1863","","10C Fractional Currency","USA Invoice Import","Unmapped","Choice Crisp","$305.00","","","",""
"1955","D","Nickel","Jefferson Nickel Series","Thomas Jefferson","Uncirculated","$1.95","$2 – $8","","",""
"1959","","Quarter","Washington Silver Quarter","Unmapped","Proof-63","32.75","$8 – $14","","",""
"1935","","Penny","Lincoln Wheat Cent","Abraham Lincoln","Genuine","","$0.15 – $3.00","","",""
"1937","","Nickel","Buffalo Nickel","Unmapped","Circulated","$26.20","Pending","","",""
"1974","D","Dollar","The Complete Collection of Eisenhower Dollar Coins","Eisenhower","Uncirculated","Included in Shipment","","","",""
"2014","S","$1","Presidential $1 Coin Program","Warren G. Harding","Proof-63","10.50","$3 – $7","","",""
"1843","","Dollar","Liberty Seated","Unmapped","VF-20","$695.00","Pending","","",""
"2010","","Dollar","America the Beautiful Quarters","Unmapped","Uncirculated","$0.00","","","",""
"1857","O","Seated Liberty Half Dime","","Stars","Extremely Fine","$135.00","Pending","","",""
"1936-38","","Nickel","Last seven Buffalo Nickels","Unmapped","genuine or B","$47.50","","","",""
"1877","CC","Half Dollar","Liberty Seated","With Motto","Good","$175.00","Pending","","",""
"1909-1958","","Cent","USA Invoice Import","Wheat Cent","Average Circ","$44.50","","","",""
"1964","D","Dime","USA Invoice Import","Unmapped","Uncirculated","$0.00","","","",""
"1951","","Penny","Lincoln Wheat Cent","Abraham Lincoln","Genuine","","$0.15 – $1.50","","",""
"2004","W","Dollar","American Eagle","Unmapped","Proof-63","$129.00","Pending","","",""
"1940","S","Dime","Mercury Dime","Winged Liberty Head","Extremely Fine","$18.75","Pending","","",""
"2007","","Five Cents","The U.S. Nickel Collection","Unmapped","","$7.95","","","",""
"2004","S","Quarter","State and Territory Quarters","Iowa","Proof-63","22.5","Pending","","",""
"1906","","Dime","","Unmapped","Good","$0.00","Pending","","",""
"2023","","Dollar","American Eagle","Unmapped","Uncirculated","$59.95","","","",""
"2013","D","$1","Presidential $1 Coin Program","William McKinley","Uncirculated","2.95","Pending","","",""
"2020","S","Quarter","National Park Quarters","Weir Farm National Historic Site","Proof-63","$12.00","Pending","","",""
"2024","","Dollar","American Eagle","Unmapped","Uncirculated","$0.00","","","",""
"2018D","","quarter","National Park Quarters","Unmapped","uncirculated","$1.00","","","",""
"2010-2021","","Quarter Dollar","National Park Quarters","56 Coins Complete Set","Uncirculated","$14.95","","","",""
"2024","","Quarter Dollar","The Celebrating America Coin Collection","Dr. Mary Edwards Walker","","$17.95","","","",""
"1952","S","Dime","Roosevelt Dimes","Unmapped","Uncirculated","29.95","Pending","","",""
"1910","","Five Cents","The U.S. Nickel Collection","Unmapped","","$7.95","","","",""
"1951","","","America Revisited Selection","5-Coin Time Capsule Year Set","Circulated","$135.00","","","",""
"1879","CC","1 Dollar","Morgan Silver Dollars","Unmapped","Fine","$329.00","Pending","","",""
"2006","S","Five Cents","USA Invoice Import","Return to Monticello","Choice Proof-63","$8.75","","","",""
"1860","","Seated Liberty Half Dime","","Unmapped","Very Fine","$67.50","Pending","","",""
"1965","","Quarter","Washington Silver Quarter","Unmapped","Uncirculated","4.50","$1 – $5","","",""
"1923","S","Dollar","Peace Dollar","Unmapped","About Uncirculated","$95.00","Pending","","",""
"2015","P","$1","Presidential $1 Coin Program","Dwight D. Eisenhower","Uncirculated","2.95","$2.00 – $4.00","","",""
"2015","S","$1","Presidential $1 Coin Program","John F. Kennedy","Choice Proof 63","8.75","$4 – $8","","",""
"1953","","Quarter","Washington Quarter","Unmapped","Circulated","$19.20","Pending","","",""
"2022","D","Dollar","USA Invoice Import","Ely Samuel Parker","Uncirculated","$0.00","","","",""
"2019","D","Dollar","Native American Dollar","Space Program","Uncirculated","$0.00","","","",""
"1947","","Penny","Lincoln Cent","Wheat Reverse","Genuine","$0.00","$0.10 - $0.50","","",""
"2018","S","Quarter","America the Beautiful Quarters","Georgia Cumberland Island National Park","Proof-63","$5.50","$3 – $7","","",""
"2006","P","Five Cents","Westward Journey","Return to Monticello","Uncirculated","$1.80","","","",""
"1980","S","Susan B. Anthony Dollar","Susan B. Anthony Dollar","Unmapped","Proof-63","$15.95","$3 – $7","","",""
"1916","D","Dime","U.S. Dime Collection Selection","Mercury","Fair 2","$1,245.00","","","",""
"1961","","Penny","Lincoln Cent","Lincoln Head","Uncirculated","$0.40","$0.15 – $2.00","","",""
"1947","","Cent","Lincoln Cent","Unmapped","Circulated","$24.20","Pending","","",""
"1964","D","Penny","Lincoln Cent","Lincoln Head","Uncirculated","$0.45","$0.15 – $1.50","","",""
"1841","O","Half Dollar","Liberty Seated","With Motto, Closed 3","About Fine","$130.50","Pending","","",""
"1989","W","$1","","Unmapped","PCGS PR70DCAM","2677.33","$1,100 – $1,400","","",""
"2009","","Penny","Lincoln Cent Series","Abraham Lincoln, Presidency Reverse","Uncirculated","$0.30","$0.25 – $1.50","","",""
"2018","S","Quarter","National Park Quarters","Minnesota Voyageurs National Park","Proof-63","$11.75","Pending","","",""
"","","Quarter","American Women Quarters Program","Dr. Vera Rubin","Ungraded","$17.95","$1 – $5","","",""
"1857","O","Half Dollar","Liberty Seated","No Motto","Very Fine","$175.00","Pending","","",""
"1939","","Half Dollar","Walking Liberty Half Dollar","Unmapped","Circulated","$20.60","Pending","","",""
"1917","S","Quarter","Standing Liberty Silver Quarter (Type 1)","Unmapped","Extremely Fine","$342.00","Pending","","",""
"1901-2011","","Five Cents","The U.S. Nickel Collection","Liberty Head and Jefferson Nickels","","$31.80","","","",""
"2024","S","Washington Quarter","American Women Quarters Program","Dr. Mary Edwards Walker","Proof-63","$29.95","Pending","","",""
"1982","S","Quarter","Washington Silver Quarter","Unmapped","Proof-63","3.95","Pending","","",""
"1890","O","1 Dollar","Morgan Silver Dollars","Liberty Head","About Uncirculated","$112.50","Pending","","",""
"1903","","Cent","Indian Head Cent","Unmapped","Good","$8.25","Pending","","",""
"1854","","Half Dime","Seated Liberty","Arrows","Very Fine","$76.50","Pending","","",""
"2005","D","Quarter","State and Territory Quarters","West Virginia","Uncirculated","3.0","Pending","","",""
"2009","S","Quarter","State and Territory Quarters","American Samoa Territory Commemorative","Proof-63","10.75","Pending","","",""
"1978","S","Dime","Roosevelt Dimes","Type 2 Clear S","Proof-63","4.00","Pending","","",""
"1948","","Penny","Lincoln Wheat Cent","Abraham Lincoln","Genuine","","$0.15 – $1.50","","",""
"2012","S","Quarter","National Park Quarters","Hawaii Volcanoes National Park","Proof-63","$28.50","$8 – $15","","",""
"1985","","Five Cents","The U.S. Nickel Collection","Unmapped","","$7.95","","","",""
"1918","D","1 Dime","Mercury Dime","Unmapped","Good","$29.50","Pending","","",""
"1957","","Five Cents","The U.S. Nickel Collection - Shipment 9","Unmapped","","$7.95","","","",""
"1915","S","Dime","Barber Dime","Liberty Head","Very Good","$46.95","Pending","","",""
"1992","S","Dime","Roosevelt Dime","Unmapped","Choice Proof 63","8.75","$3 – $8","","",""
"2024","P","Dollar","American Innovation $1 Coin","Saturn V Rocket","Uncirculated","$0.00","$1.50 – $3.00","","",""
"1958","","Quarter","Washington Quarter","Unmapped","Uncirculated","8.25","$8 – $15","","",""
"1892","CC","1 Dollar","Morgan Dollar","Unmapped","Very Fine","$515.00","$450 – $600","","",""
"1957","","Penny","Lincoln Cent","Abraham Lincoln","Not Graded","$0.00","$0.15 – $3.00","","",""
"1951","S","Penny","Lincoln Cent","Abraham Lincoln","About Good","$0.70","$0.05 – $0.15","","",""
"1873","S","Half Dollar","Liberty Seated","With Arrows","Good","$145.00","$450 – $750","","",""
"2019","S","Quarter","America the Beautiful Quarters","Idaho Frank Church River of No Return Wilderness","Uncirculated","$1.25","$2.00 – $5.00","","",""
"1943","P","Half Dollar","Walking Liberty","Unmapped","Extremely Fine","$41.00","Pending","","",""
"1840","","Half Dime","Liberty Seated","Stars and Drapery","Very Fine","$225.00","$90 – $150","","",""
"1934","D","Quarter","Washington Quarter","Unmapped","Fine/Very Fine","47.00","$12 – $20","","",""
"1956","","Cent","Lincoln Cent","Unmapped","Circulated","$26.40","Pending","","",""
"2016D","","quarter","National Park Quarters","Unmapped","uncirculated","$1.00","$1.00 – $3.00","","",""
"1924","D","Nickel","Buffalo Nickel","Native American & Buffalo","Fine","$114.00","$35 – $55","","",""
"1978","D","One Dollar","Eisenhower Dollar","Dwight D. Eisenhower","UNC 63","$31.35","$4 – $8","","",""
"1982","D or S","Half Dollar","Advertisement Items","George Washington Commemorative","Unknown","$14.95","","","",""
"2006","S","Quarter","State and Territory Quarters","Colorado commemorative silver","Choice Proof 63","22.5","$4 – $10","","",""
"1910","S","Penny","Lincoln Head Penny","Lincoln Portrait","Fine","$65.00","Pending","","",""
"2003","S","Quarter","State and Territory Quarters","Maine","Choice Proof 63","7.5","Pending","","",""
"2001","P","Dime","Roosevelt Dimes","Unmapped","Uncirculated","2.50","$1 – $3","","",""
"","","Dollar","The Statehood Innovation Dollar Coin Collection","Iowa","","$17.95","","","",""
"1926","","Nickel","","Unmapped","Very Good","$0.00","$2 – $5","","",""
"1930","P","Quarter","Standing Liberty Silver Quarter","Unmapped","Very Good","$32.47","$8 – $15","","",""
"1935","A","$1 Silver Certificate","American Paper Money Club Selection","North Africa RC Block","Uncirculated-65 Premium","$567.00","","","",""
"1898","O","Half Dollar","Barber","Liberty Head","Ungraded","$64.00","$25 – $1,500","","",""
"1915","D","Half Dollar","Barber","Liberty Head","Very Good","$54.00","Pending","","",""
"1924","D","Penny","Lincoln Cent","Abraham Lincoln","Very Fine","$138.00","$35 – $55","","",""
"1974","D","Dollar","Eisenhower Dollar","Dwight D. Eisenhower","MS-63","$31.35","$4 – $8","","",""
"1958","D","Quarter","Washington Quarter","Unmapped","Uncirculated","24.5","$8.00 – $15.00","","",""
"2011","D","Penny","America the Beautiful Quarters","Unmapped","Uncirculated","","$0.10 – $1.00","","",""
"1917","","Penny","Lincoln Cent","Abraham Lincoln","Genuine","","$0.15 – $1.50","","",""
"1914","","Penny","Lincoln Cent","Abraham Lincoln","Not Graded","$0.00","$0.15 – $15.00","","",""
"1937","S","Quarter","Washington Quarter","Unmapped","Very Good","26.50","Pending","","",""
"1960","D","Penny","Lincoln Cent","Lincoln Head","Uncirculated","$0.55","Pending","","",""
"","","","The Celebrating America Coin Collection","Mayflower Compact","","$17.95","","","",""
"2020","S","Quarter","National Park Quarters","Salt River Bay National Historical Park and Ecological Preserve","Proof-63","$12.00","Pending","","",""
"1889","CC","$1","Morgan Silver Dollar","Unmapped","About Uncirculated","4995.0","Pending","","",""
"2011","D","Quarter","National Park Quarters","Olympic National Park","Mint State","$1.50","Pending","","",""
"1823","","Dime","U.S. Dime Collection Selection","Unmapped","Good 6","$325.00","","","",""
"1962","D","Dime","USA Invoice Import","Unmapped","Average Circulated","$0.00","","","",""
"1917","","Penny","Lincoln Cent","Abraham Lincoln","Genuine","","Pending","","",""
"2019D","","quarter","National Park Quarters","Unmapped","uncirculated","$1.00","$1.00 – $3.00","","",""
"2019","S","Dime","America the Beautiful Quarters","Unmapped","Ch Proof-63","23.50","$3 – $7","","",""
"1967","","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Uncirculated","$29.50","$4.50 – $8.00","","",""
"1927","","Nickel","","Unmapped","Fine","$0.00","Pending","","",""
"1956","","Quarter","Washington Silver Quarter","Unmapped","Uncirculated","28.25","$8 – $15","","",""
"1911","","Penny","Lincoln Head Penny","Lincoln Portrait","Genuine","$0.00","$0.15 – $1.50","","",""
"1930","","Penny","Lincoln Wheat Cent Series","Abraham Lincoln","Not Graded","$0.00","$0.15 – $15.00","","",""
"1983","S","Penny","Lincoln Cent Series","Abraham Lincoln","Proof-63","$5.50","$1.00 – $3.00","","",""
"1920","","Penny","Lincoln Wheat Cent","Abraham Lincoln","Genuine","","$0.15 – $1.50","","",""
"1902","","Penny","Indian Head Cent","Indian Head","Good","$8.25","Pending","","",""
"2008","","Penny","Lincoln Cent Series","Abraham Lincoln","Uncirculated","$0.25","$0.15 – $1.00","","",""
"1966","","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Uncirculated","$21.50","$10 – $15","","",""
"1905","","25 Cents","Barber Silver Quarters","Liberty Head","Very Good","$76.50","Pending","","",""
"1980","P","Dime","Roosevelt Dimes","Unmapped","Uncirculated","2.00","Pending","","",""
"1974","S","Dollar","Eisenhower Dollar","Dwight D. Eisenhower","Proof-63","$0.00","Pending","","",""
"1929","","$10 Federal Reserve Bank Note","Federal Reserve Bank Note","Unmapped","Fine","$133.00","","","",""
"1969","","Dime","Roosevelt Dimes","Unmapped","Uncirculated","6.75","Pending","","",""
"1976","","Quarter","Historic U.S. Silver Coins","Shipment # 4","","$79.90","","","",""
"1988","D","Penny","Lincoln Cent","Abraham Lincoln","Mint State","$1.50","Pending","","",""
